date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:24%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.eot	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2a.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:25	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:24%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.eot?	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2bd41d.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:25%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.woff2	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2c.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:26%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.woff	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2d.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:28%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.ttf	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2e.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2018:40:28%20GMT	https://xcuzskillz.xyz/webfonts/fa-solid-900.svg	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/webfonts/fa-solid-900.2f.delayed	(from https://xcuzskillz.xyz/css/all.min.css)
21:40:30	2428/2428	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2007:52:05%20GMT	https://xcuzskillz.xyz/css/skills.css	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/css/skills.css	(from https://xcuzskillz.xyz/skills.html)
21:40:31	3872/3872	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2007:52:05%20GMT	https://xcuzskillz.xyz/css//work.css	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/css/work.css	(from https://xcuzskillz.xyz/work.html)
21:40:31	76857/76857	---M--	200	added ('OK')	image/png	etag:%22de38b6c82ab7559fc20a7a801c542480%22	https://cdn.discordapp.com/attachments/779020777877405716/811523441563140167/unknown.png	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.discordapp.com/attachments/779020777877405716/811523441563140167/unknown.png	(from https://xcuzskillz.xyz/work.html)
21:40:31	53062/53062	---M--	200	added ('OK')	image/png	etag:%220ed94a2e8ea1bedefd25555e2823a29c%22	https://cdn.discordapp.com/attachments/779020777877405716/811523686686523403/unknown.png	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.discordapp.com/attachments/779020777877405716/811523686686523403/unknown.png	(from https://xcuzskillz.xyz/work.html)
21:40:32	99401/99401	---M--	200	added ('OK')	image/png	etag:%229e99aacc98f7d1941efd456aeee364cf%22	https://cdn.discordapp.com/attachments/779020777877405716/811523878655492096/unknown.png	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.discordapp.com/attachments/779020777877405716/811523878655492096/unknown.png	(from https://xcuzskillz.xyz/work.html)
21:40:32	108199/108199	---M--	200	added ('OK')	image/png	etag:%22211821b0bbe70791c6bb255653732c62%22	https://cdn.discordapp.com/attachments/779020777877405716/811523980128682024/unknown.png	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.discordapp.com/attachments/779020777877405716/811523980128682024/unknown.png	(from https://xcuzskillz.xyz/work.html)
21:40:33	215584/215584	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2019:44:44%20GMT	https://cdn.discordapp.com/icons/597618510323122177/bfb8493952b08cc583ebe97db2ddf8ca.png?size=1024	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.discordapp.com/icons/597618510323122177/bfb8493952b08cc583ebe97db2ddf8ca9b07.png	(from https://xcuzskillz.xyz/work.html)
21:40:33	172492/172492	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2021:56:29%20GMT	https://media.discordapp.net/attachments/790697857229127703/794323117619019807/unknown.png?width=1408&height=676	E:/My%20Web%20Sites/Download%20web%20site(s)/media.discordapp.net/attachments/790697857229127703/794323117619019807/unknownd631.png	(from https://xcuzskillz.xyz/work.html)
21:40:34	343/343	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2007:52:05%20GMT	https://xcuzskillz.xyz/css/aboutme.css	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/css/aboutme.css	(from https://xcuzskillz.xyz/aboutme.html)
21:40:35	3550/3550	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Feb%202021%2007:52:05%20GMT	https://xcuzskillz.xyz/css/contact.css	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/css/contact.css	(from https://xcuzskillz.xyz/contact.html)
21:40:35	31223/31223	---M-Z	200	added ('OK')	text/css	etag:W/%2279f7-BOv36Lb8fDRm5UPjbDc6zbMwoak%22	https://cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	E:/My%20Web%20Sites/Download%20web%20site(s)/cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	(from https://xcuzskillz.xyz/contact.html)
21:40:35	5790439/5790439	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2007:52:24%20GMT	https://xcuzskillz.xyz/scripts/all.min.js	E:/My%20Web%20Sites/Download%20web%20site(s)/xcuzskillz.xyz/scripts/all.min.js	(from https://xcuzskillz.xyz/)
